quarter_start__date,quarter_label,transactions_total__LR__count,price_avg__LR__gbp,price_median__LR__gbp,price_min__LR__gbp,price_max__LR__gbp,boe_house_purchase__LPMVTVX__count,boe_remortgage__LPMB4B3__count,boe_total_secured_lending__LPMB3C8__count,boe_mfi_total_approvals__LPMZ3UP__count,mlar_gross_advances__MLAR_1_21_C_1__gbp,mlar_net_advances__MLAR_1_21_C_2__gbp,mlar_new_commitments__MLAR_1_21_C_3__gbp,mlar_imp_repayment__MLAR_1_32_C_3__pct,mlar_imp_interest_only__MLAR_1_32_C_4__pct,mlar_new_house_purchase__MLAR_1_33_C_29__gbp,mlar_new_remortgage__MLAR_1_33_C_30__gbp
1993-04-01,1993Q2,,,,,,86380.3333333333333333333333,,,84102.3333333333333333333333,,,,,,,
1993-07-01,1993Q3,,,,,,82426.6666666666666666666667,,,79820.6666666666666666666667,,,,,,,
1993-10-01,1993Q4,,,,,,81294.0000000000000000000000,,,77124.3333333333333333333333,,,,,,,
1994-01-01,1994Q1,,,,,,88960.0000000000000000000000,,,81566.6666666666666666666667,,,,,,,
1994-04-01,1994Q2,,,,,,86168.0000000000000000000000,,,82688.0000000000000000000000,,,,,,,
1994-07-01,1994Q3,,,,,,80628.0000000000000000000000,,,78321.6666666666666666666667,,,,,,,
1994-10-01,1994Q4,,,,,,83180.6666666666666666666667,,,78034.3333333333333333333333,,,,,,,
1995-01-01,1995Q1,172669,66497.12,53500.00,1.00,5610000.00,78134.3333333333333333333333,,,73349.6666666666666666666667,,,,,,,
1995-04-01,1995Q2,205143,67651.25,54950.00,49.00,3000000.00,71581.6666666666666666666667,,,68702.6666666666666666666667,,,,,,,
1995-07-01,1995Q3,212766,69768.26,55500.00,100.00,3500000.00,74310.6666666666666666666667,,,70897.3333333333333333333333,,,,,,,
1995-10-01,1995Q4,206546,67576.98,54500.00,100.00,3650000.00,81568.0000000000000000000000,,,75271.6666666666666666666667,,,,,,,
1996-01-01,1996Q1,179198,66922.51,53800.00,100.00,4400000.00,82614.0000000000000000000000,,,75448.3333333333333333333333,,,,,,,
1996-04-01,1996Q2,231892,70083.47,56000.00,1.00,5135000.00,84970.3333333333333333333333,,,82467.3333333333333333333333,,,,,,,
1996-07-01,1996Q3,271634,74097.11,58000.00,100.00,5150000.00,92682.3333333333333333333333,,,88105.0000000000000000000000,,,,,,,
1996-10-01,1996Q4,282657,73146.32,58000.00,100.00,7000000.00,101046.3333333333333333333333,,,92606.3333333333333333333333,,,,,,,
1997-01-01,1997Q1,222621,73800.07,58000.00,100.00,4237500.00,100036.0000000000000000000000,,,88985.6666666666666666666667,,,,,,,
1997-04-01,1997Q2,281728,77778.29,59999.00,150.00,6107000.00,103404.0000000000000000000000,,,94420.3333333333333333333333,,,,,,,
1997-07-01,1997Q3,308691,81269.86,62250.00,100.00,4500000.00,99026.0000000000000000000000,,,92017.6666666666666666666667,,,,,,,
1997-10-01,1997Q4,281573,80107.98,61950.00,1.00,5000000.00,85515.6666666666666666666667,16899.3333333333333333333333,123604.3333333333333333333333,111500.6666666666666666666667,,,,,,,
1998-01-01,1998Q1,212958,81731.42,61500.00,95.00,15000000.00,88054.3333333333333333333333,19406.3333333333333333333333,129712.0000000000000000000000,118989.3333333333333333333333,,,,,,,
1998-04-01,1998Q2,273506,84982.66,65000.00,1.00,4750000.00,87047.0000000000000000000000,24725.0000000000000000000000,135798.0000000000000000000000,126298.3333333333333333333333,,,,,,,
1998-07-01,1998Q3,294371,88601.92,67000.00,100.00,21500000.00,86444.3333333333333333333333,27412.0000000000000000000000,140591.0000000000000000000000,130396.3333333333333333333333,,,,,,,
1998-10-01,1998Q4,269818,85428.55,66000.00,100.00,6850000.00,83440.3333333333333333333333,27525.0000000000000000000000,142651.3333333333333333333333,130036.0000000000000000000000,,,,,,,
1999-01-01,1999Q1,218435,87601.99,66500.00,120.00,32477000.00,87713.6666666666666666666667,27096.3333333333333333333333,152224.3333333333333333333333,145021.0000000000000000000000,,,,,,,
1999-04-01,1999Q2,294831,93008.59,71000.00,110.00,8751000.00,97155.3333333333333333333333,30898.3333333333333333333333,168370.3333333333333333333333,159810.3333333333333333333333,,,,,,,
1999-07-01,1999Q3,349064,100399.99,75000.00,100.00,13650000.00,98185.6666666666666666666667,32630.3333333333333333333333,173253.3333333333333333333333,163321.0000000000000000000000,,,,,,,
1999-10-01,1999Q4,332689,99739.88,75500.00,200.00,8300000.00,95410.0000000000000000000000,27957.0000000000000000000000,165097.3333333333333333333333,152266.0000000000000000000000,,,,,,,
2000-01-01,2000Q1,252266,103184.83,76000.00,255.00,12600000.00,91665.6666666666666666666667,30599.6666666666666666666667,160032.3333333333333333333333,149490.6666666666666666666667,,,,,,,
2000-04-01,2000Q2,305157,106665.21,80000.00,225.00,8000000.00,94790.6666666666666666666667,35125.6666666666666666666667,172765.0000000000000000000000,161528.0000000000000000000000,,,,,,,
2000-07-01,2000Q3,296966,109966.07,82000.00,355.00,6870000.00,90677.6666666666666666666667,36632.3333333333333333333333,176375.3333333333333333333333,164856.6666666666666666666667,,,,,,,
2000-10-01,2000Q4,275137,109725.08,82167.00,146.00,8000000.00,96886.3333333333333333333333,42806.3333333333333333333333,190119.3333333333333333333333,178624.0000000000000000000000,,,,,,,
2001-01-01,2001Q1,237248,111354.29,83950.00,100.00,11350000.00,99510.6666666666666666666667,53602.0000000000000000000000,213416.3333333333333333333333,203861.3333333333333333333333,,,,,,,
